"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31417.0782036538","32175.4820996249","32489.5445134626","32392.4806717542","33043.1684027313","33872.8535447554","34638.430695228","35362.1210375199","36580.8392550402","37820.4306402502","39000.4809526893","39376.1681144685","39831.7331573909","39937.8977591524","40764.8182103531","41354.7652384576","42529.5369986478","43927.1293276488","44467.3784803725","42666.1176310357","43384.5880101396","44452.7327457999","44580.5183423273","44375.937737993","44336.8630061061","44288.9287458578","44358.0149583615","",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8513.31069277994","8323.49934468511","6345.5169997564","4806.13270233044","3807.50790708691","3319.76734895474","3329.13480415802","3488.41002547603","3801.00252072188","4046.6074672842","4458.99842303434","4862.6190309313","5338.07631838764","5891.13710833521","6435.44812947118","8051.67483806248","10711.1822716451","13243.2128559113","14364.9942336723","15393.8932908055","15950.2574578784","15754.1523626148","15888.2179950886","16593.1887600482","16715.1055213058","16698.8636532538","15994.0097416242","",
"Burundi","BDI","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1087.48872825938","1115.73855046451","1103.29910902375","1014.69065326086","959.173830077497","869.808033784771","789.751666666058","768.168390676507","794.998070315624","775.364107582963","754.096280212503","751.388912965823","763.177201007773","730.90295129817","741.766251653457","724.160012349081","738.092490310413","747.676474687463","759.339932485036","760.061723427025","763.831930213843","771.509423734821","778.735483594131","790.714517573484","803.172837396172","748.41527127932","721.176561528182","",
"Belgium","BEL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30647.8213478709","31093.8610724912","31441.977285362","31018.1395921895","31920.5561312755","32613.4078364629","33068.3953782617","34212.4882853649","34813.8621527162","35971.8504151917","37188.6436930907","37361.718437763","37856.8647131311","37990.7133086751","39201.5271563108","39802.9722724017","40532.2730382074","41623.4417399595","41619.3400813337","40355.5731175835","41085.9189401366","41248.725342013","41046.481185763","40928.136605999","41384.1473316774","41722.9218634283","42058.6611699356","",
"Benin","BEN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1462.67742107927","1473.86252559355","1465.57057864765","1497.74263989156","1476.5393429105","1515.06774041106","1531.64280725026","1571.16906095909","1585.78506587644","1621.90086797704","1666.46746353098","1703.01513026645","1728.69687889668","1734.69529970284","1757.90297863214","1735.97415014991","1752.95773973829","1805.62256823782","1841.24980105023","1831.76251754635","1818.77846075906","1820.89469315629","1855.84342847873","1934.59577170696","2001.12916130051","1987.16714645212","2009.96138385757","",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","844.342167576777","896.598477820563","874.806444566451","880.89149248784","868.463532306393","893.240680831447","964.586920602274","997.364751381498","1040.667437642","1086.61619839277","1075.39533703334","1114.20225286606","1129.74053824911","1183.09487974235","1200.41706167989","1266.36153727954","1305.92487685024","1338.83837475586","1393.69699328809","1392.20019360498","1423.37770598198","1472.71648241138","1521.45429478715","1562.30470766267","1582.33369667322","1596.3345381736","1642.18583388009","",
"Bangladesh","BGD","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1287.93366418737","1301.69965941864","1341.76334138033","1374.41890576168","1397.31861864065","1437.6397305204","1470.90745239521","1504.87169006458","1550.31803503193","1590.25166657181","1641.95876843278","1692.82911877697","1725.63200463028","1775.97815407773","1838.76198025346","1929.93874339681","2031.27129311695","2148.47399345425","2252.16873338547","2339.86576916766","2442.72888765696","2570.85014525476","2706.58674530986","2835.76661976407","2973.0415646346","3132.56754015214","3319.35355606232","",
"Bulgaria","BGR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9296.88985758072","8596.4557709594","8057.34935174809","8001.65586269044","8174.84040345724","8446.19188407422","8625.70175724536","8582.91285813763","8942.79161789051","8488.55880452466","8958.05060612762","9526.35045688052","10321.2877813684","10931.6021311602","11736.4837198158","12680.8839404064","13640.4485985886","14795.7927243694","15442.0481821008","14984.5058900701","15283.1797819496","15676.0532222803","15771.9945371255","15997.2418212004","16302.2183469108","17000.068661858","17794.4234207588","",
"Bahrain","BHR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35113.3329386605","37996.6430763657","39506.1787854484","43499.0891903771","42334.375610445","42896.7142454249","43504.5115981395","43624.1594258385","44315.4592535893","44562.3398016227","44942.3690225206","43887.0711920261","43147.4963779058","43187.4991847906","43355.3056525645","43201.8066853191","42673.0806319225","42755.4262028945","42218.1484889764","40717.1804076523","40570.5356928307","40164.5827403304","40960.3331839838","42680.2013445965","43837.3440580026","43926.474036316","","",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24281.345473518","22840.0444471512","21552.1018642924","21217.3477588362","21510.2554067805","22111.1264187484","22749.4126114252","22961.2682067106","23788.0879859178","25182.6326195971","25847.3467287936","26067.0349475819","26250.564866147","25377.6926760114","25063.5596078146","25385.3867111372","25514.3242649749","25392.081336573","24350.3814024026","22925.9672631567","22895.0657376506","22674.7278158328","23029.4216849348","22583.1076877743","22014.756048203","21081.1124002994","20878.8694925568","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1471.39554149817","1826.04901249608","3508.26633287892","4749.85822532964","5493.68494507865","6007.25098419955","6324.88266815321","6595.16181006125","6936.38641312533","7207.27558834742","7642.79387850608","8311.63323301829","8763.45105148572","9278.91225983528","9824.04045084629","9573.67529031387","9720.2776202025","9901.54444068956","9929.40584985815","10284.6179621983","10516.6249913659","10931.9761047488","11327.4121821712","",
"Belarus","BLR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8353.90616482524","8249.6109981033","7441.58841045073","6860.58198003115","6065.00200674514","5451.83351668447","5623.24002093197","6290.91431596248","6851.85969471413","7114.68495785746","7562.88399875478","7960.98605535452","8416.04256596209","9072.0661853019","10180.0029861629","11213.2494312467","12410.3301926286","13539.6024068277","14972.2694585184","15035.6996456718","16235.1714534334","17166.6956434719","17479.9293997571","17656.1193383189","17944.2098463253","17229.5551904045","16742.2559149476","",
"Belize","BLZ","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5164.84829399418","5600.28530601375","6171.28755205282","6449.14259043834","6329.35637506378","6207.32558635658","6098.21100986759","6088.44743232969","6078.19402534199","6370.06285239756","6959.30381603376","7088.5499349075","7246.14646507412","7718.15004372434","7873.49216827621","7871.59167827899","8020.80392405522","7901.21370804003","7949.62914265935","7808.3094157545","7875.25594808055","7855.69828660257","7974.26291343671","7903.47103611784","8005.48489669257","8061.33183075712","7846.01583191982","",
"Bermuda","BMU","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40553.2585214927","39322.1091825364","39584.3298590314","40557.2201557525","40518.4078179105","41999.2594636705","42816.9632444088","44514.1094159639","45911.6864997413","47199.8414462497","51140.236844667","54245.1496398132","53096.9254922092","54549.8011627024","55452.6388804958","56017.19161965","58784.5932914465","60117.4599095649","60675.9820859495","57151.9191321066","56395.0078003539","54984.5103947777","52137.3003731125","50669.3147696996","","","","",
"Bolivia","BOL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3707.2450502719","3826.43247858039","3813.52651668108","3898.64643442917","4000.83228728931","4106.16907030112","4201.55800924018","4323.76161478576","4453.29486000423","4386.79236379529","4412.255625581","4403.71693251038","4431.30610689627","4470.30909186235","4575.17290508943","4694.9165699442","4836.43247556525","4972.49156342578","5191.13190436962","5278.03826758065","5407.47022023569","5598.50844451487","5792.93305144957","6090.69557009272","6324.82725807651","6531.51939817124","6707.95618414272","",
"Brazil","BRA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10344.6366813993","10319.7021758669","10099.5533065974","10397.9314762653","10776.1959043364","11072.4815606742","11137.344105555","11334.5712545585","11197.4554572599","11081.4106943102","11370.7294551211","11369.0138803598","11560.0372749018","11542.5788204106","12058.3213738903","12299.3797443019","12644.9392239091","13271.0470442056","13806.0149203547","13653.0139581162","14539.0845345652","14973.0984736747","15118.138451117","15430.2682759225","15370.9963698253","14666.0181678984","14023.6916227341","",
"Barbados","BRB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14262.3440090399","13658.8463391039","12835.6334932971","12893.8128859491","13105.5609962718","13323.0833500335","13800.3141706205","14400.1593665707","14882.7603609721","14877.2907877633","15486.5170615087","15073.0898123298","15147.958961114","15432.5194860997","15601.8831939352","16166.1510821623","17018.5712309159","17249.1505473935","17244.4616402797","16479.2126052511","16457.9159049246","16472.0832008577","16460.6714588784","16408.3175094623","16360.5546106727","16460.1541131793","16750.5259265839","",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84672.3914994667","84879.7921309364","86423.2835638991","84290.3666377931","84607.1745727311","86116.0177289558","86411.9644582628","83138.2235244123","80813.3369073958","81476.1517217496","82049.5808598868","82596.776218302","84125.4405877487","84970.735531184","83942.2194070735","82967.1127639163","85424.5583581664","84503.538755155","81905.6581289731","79512.7550128728","80552.8644713138","82434.8830910215","81993.9320766154","79070.2459316149","76089.2865740815","74600.1642971982","71788.7832343468","",
"Bhutan","BTN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2325.24188426706","2315.74053813835","2448.53037239605","2537.30384522117","2697.03838953366","2896.949918925","3032.22813949343","3137.937414193","3241.36525402581","3403.55184513624","3538.77361646938","3723.98155129683","4009.25195557952","4198.5874279696","4329.15984613234","4521.98567794256","4719.66536448846","5446.36248611985","5592.16284779378","5851.67801870576","6419.67559908811","6805.87845575689","7032.74666006521","7070.79246817221","7366.42412644897","7743.33799567847","8253.29378307761","",
"Botswana","BWA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8110.44046511801","8476.56985216693","8489.52511647583","8427.24816359058","8516.85969609395","8903.74629489617","9217.41422776574","9753.10960795733","9635.30771432846","10378.8151968105","10410.7026764195","10278.6258212434","10749.2510299364","11094.5013909952","11239.0325837069","11583.2195902436","12362.9291865381","13175.1796275222","13768.3384387427","12499.4074012934","13334.1987970857","13889.2704704923","14244.4943119099","15568.2733737967","15914.6702328332","15356.457617167","15723.237064964","",
"Central African Republic","CAF","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932.258534941896","904.090131600669","823.82528489783","804.393710503944","821.485176715767","858.281040099522","804.031705643388","827.03004752115","846.627097706992","858.229066262775","819.37384426573","838.709641838263","852.271180170122","791.274556468038","823.535091249503","816.34381793334","840.260088983104","863.754566067001","867.381124798183","870.419762563777","888.007249982842","911.655946889643","946.135707091973","597.67490678348","601.785891773644","626.410872523764","647.880444824102","",
"Canada","CAN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31299.6545691346","30220.3607817756","30115.2812355584","30578.4456206007","31646.8102566853","32226.226936923","32394.5778686681","33425.815129343","34424.0520624146","35903.1545325561","37431.9169780243","37712.1282353891","38500.3170770124","38805.6711138179","39604.3548611707","40471.2605251176","41203.3504026759","41647.3878092126","41611.2508139689","39924.1959013064","40699.3551293841","41565.2712210369","41794.5389176845","42335.6682808262","42946.3593352852","42983.100055685","43087.7573653648","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12270.2514431849","11112.7100416821","10895.4127966574","11059.8899947204","11521.0866806726","12198.5499659887","12765.6896112256","13131.5449996992","13504.9552701107","13779.9462564444","14424.4059522613","14960.9247662599","15595.7438960801","16349.2636583176","17333.3793902638","18229.5924655248","19482.6830159524","20811.9956128957","21702.4094122456","20955.5608909608","21427.5478953096","22167.6697787028","22359.9253419942","22738.4975339673","23463.4528136773","24407.2082132245","25231.2626727091","",
