"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.548947849954254","0.556844547563805","0.533570475767008","0.477516912057302","0.437550591787175","0.418398193312708","0.444303703392541","0.438174326067126","0.434712306276276","0.435108327589824","0.425777821391383","0.421318232396316","0.43133635892444","0.449521757472763","0.427988230884726","0.506252444825802","0.498384330897067","0.512418426798229","","","","","","",
"Afghanistan","AFG","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4719400285995","37.7654435078259","30.2716744732668","31.7509905365424","29.2497367788414","30.6228536688586","25.3947405330476","30.2056024682127","27.0915400061362","24.507440419353","24.6032470715393","23.8913721393019","23.463125535053","21.4007220418227","21.9102950163522","",
"Angola","AGO","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","13.79150009155","13.68099975585","14.20100021365","18.99049949645","17.7290000915667","18.3556671142667","25","11.5384615384615","11.5241635687732","6.64301838116737","7.31225296442688","7.02686916586973","9.00201794169947","13.0337582807876","6.29025682837342","5.66468956353549","8.15637702246655","","","","","","","","","","","","","","","","",
"Albania","ALB","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","33.6002061629567","32.4002988390487","31.6997104690522","34.1000974784758","33.0999410472445","34.6000120880036","34.0000003795285","33.2000247238173","31.4998818203198","32.300197699803","35.9007899107974","39.2952951590215","51.6418702727331","54.6409764928012","53.6209806102615","55.8121447107506","37.4796047275612","32.700159912277","30.4752181599794","27.1177320710583","26.4904623131415","24.4530545813644","24.2359328677808","24.3326986015293","22.9325210783278","21.2343279084142","20.2223444439829","19.8747975889451","19.4205347268422","19.4097808204446","20.6581888515256","20.958124149667","21.6606803267595","22.4285067840321","22.9030750986632","22.8578117537844","22.8948859855993","",
"Andorra","AND","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.541547155272058","0.505552520192479","0.448083961828997","0.485756627696361","0.482899985226769","0.443298710631648","0.415418168390524","0.436699121012605","0.479777954004758","0.471054405550714","0.542998069912074","0.587770467641549","0.679288458853048","0.640691785496211","0.551639730387733","0.5209198255443","","",
"Arab World","ARB","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1935942872687","9.86447886011613","8.92850079769034","7.98611523300665","7.77974142432243","7.3537539633337","6.47879072587169","","5.47008995872069","6.24295946861961","6.33679187313762","6.61196386640111","6.55166306894654","7.01582585852928","7.15124863580113","",
"United Arab Emirates","ARE","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.77796106692193","","","","","","","",
"Argentina","ARG","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","12.9041629886915","10.2785862835392","9.98038631665412","9.72127698537181","9.18589272925904","9.6375609641048","10.8659477473906","10.984869871837","11.9525477974444","10.2308377488651","6.5839104917193","8.15217071220236","8.08714211405919","7.50442747786782","7.79627735903041","6.35350500480657","6.47552296064522","9.59615604621897","8.65832496118367","8.3459768371011","7.63430725730443","7.80040264019792","8.09435846444628","8.97786821775225","9.61606509643166","8.12367620787489","6.71649176009431","5.99078709147934","5.49202482400254","5.51386657536411","5.78700381057553","6.08125464208411","5.67336683883138","5.70293390763375","4.81532950375132","5.05302148878072","4.89280607440549","10.822087179809","11.0423301528658","9.83632206716253","9.33408693168576","8.17026374784426","8.83232309691195","8.72898126823692","6.28831704348887","8.5022016974351","8.32951228357698","6.89378647364917","7.20775216088908","7.99791756210649","6.04397789010698","7.56038774598676","",
"Armenia","ARM","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3762697212016","24.9734607218684","31.0427206295672","51.3655893244733","44.8709973162405","42.2553129480646","36.8259627203696","31.9686774367205","33.9957279695603","29.4640212807953","25.5478701562349","28.3281547063999","25.9618988244082","23.6820980482328","24.662200003318","20.892517379789","20.4510979086758","20.2820602192449","18.3981208906774","18.9138922965675","19.1530515742164","22.8154155645177","20.0680700111774","20.7403685968283","20.3776674329075","19.2702607535006","17.7137106064542","",
"American Samoa","ASM","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
